Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_10,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
2021-03-31,18.0,18.947999954223633,16.059999465942383,16.549999237060547,16.549999237060547,2110800,,,,,,,16.549999237060547,16.549999237060547,16.549999237060547,0.0,0.0,0.0,,16.549999237060547,16.549999237060547,16.549999237060547
2021-04-01,16.299999237060547,17.3439998626709,15.0600004196167,16.0,16.0,506500,-0.033232583831721785,-0.033797333484228954,,,,,16.465383969820465,16.509258552833842,16.52843063952876,-0.04387458301337688,-0.008774916602675376,-0.0350996664107015,0.0,16.274999618530273,16.82499885559082,15.725000381469727
2021-04-05,15.630000114440918,15.949999809265137,14.729999542236328,14.920000076293945,14.920000076293945,169200,-0.06749999523162842,-0.06988612235063126,,,,,16.227632601585615,16.391535702719775,16.465354931166612,-0.16390310113416007,-0.03980055350897232,-0.12410254762518774,0.0,15.823333104451498,17.17747018270418,14.469196026198818
2021-04-06,14.869999885559082,17.989999771118164,14.729000091552734,17.860000610351562,17.860000610351562,447200,0.19705097312492104,0.1798610097334221,,,,,16.47876614139576,16.50031088106287,16.520046918585628,-0.021544739667110235,-0.036149390740599904,0.014604651073489669,64.33261992090138,16.332499980926514,18.450583151440817,14.21441681041221
2021-04-07,17.510000228881836,17.790000915527344,15.550000190734863,15.609999656677246,15.609999656677246,173300,-0.12597989231703766,-0.13465189708900185,,,,,16.345109759131372,16.43436190147875,16.484358790667653,-0.08925214234737666,-0.046769941061955256,-0.042482201285421406,43.108508130492275,16.18799991607666,18.168682968369108,14.20731686378421
2021-04-08,15.550000190734863,16.049999237060547,14.470000267028809,14.510000228881836,14.510000228881836,202400,-0.07046761383654998,-0.07307362986339828,,,,,16.06278521601606,16.291816592397495,16.406932964715267,-0.22903137638143534,-0.08322222812585128,-0.14580914825558405,37.121218506772415,15.90833330154419,18.106860710299085,13.709805892789294
2021-04-09,14.279999732971191,15.11400032043457,13.720000267028809,13.779999732971191,13.779999732971191,207200,-0.05031016432774371,-0.05161983646265725,,,,,15.711587449393772,16.105756084291844,16.303915975235107,-0.3941686348980724,-0.14541150948029552,-0.2487571254177769,33.9884432320715,15.604285648890905,18.126526501114704,13.082044796667104
2021-04-12,13.989999771118164,14.274999618530273,12.630000114440918,13.050000190734863,13.050000190734863,103200,-0.0529752943673627,-0.05443009782311397,,,,,15.30211248652317,15.879403795880215,16.17631143466647,-0.5772913093570455,-0.23178746945564555,-0.3455038399014,31.343288893262994,15.284999966621399,18.186878714142185,12.383121219100612
2021-04-13,12.890000343322754,13.319999694824219,12.789999961853027,12.970000267028809,12.970000267028809,71300,-0.006130262263356334,-0.00614912946785957,,,,,14.943325991216344,15.663892423372703,16.050573741817935,-0.7205664321563585,-0.3295432619957882,-0.3910231701605703,31.07822962158788,15.027777777777779,18.126562833594036,11.92899272196152
2021-04-14,12.960000038146973,13.729999542236328,12.920000076293945,13.729999542236328,13.729999542236328,57000,0.058596704669276134,0.056944167522939515,,14.897999954223632,,,14.756660383680956,15.520641098844083,15.95957083203042,-0.763980715163127,-0.416430752629256,-0.34754996253387105,36.203523070988275,14.897999954223632,17.939141868940435,11.85685803950683
2021-04-15,13.600000381469727,14.65999984741211,13.270000457763672,14.600000381469727,14.600000381469727,121800,0.06336495762851957,0.061438368402873256,,14.70300006866455,,,14.732558844879229,15.452445490149687,15.90625434377314,-0.7198866452704582,-0.47712193115749646,-0.24276471411296174,41.20830104255778,14.870909083973277,17.775581873632902,11.966236294313653
2021-04-16,14.600000381469727,15.149999618530273,14.149999618530273,15.149999618530273,15.149999618530273,37400,0.0376711796363105,0.036978951933504124,,14.618000030517578,,,14.796780502364005,15.430042092251952,15.876597295724402,-0.6332615898879475,-0.5083498629035866,-0.12491172698436082,43.9862556188134,14.894166628519693,17.679454860591868,12.10887839644752
2021-04-19,15.050000190734863,15.649999618530273,14.984000205993652,15.510000228881836,15.510000228881836,74100,0.023762417123181834,0.02348448516963877,,14.677000045776367,,,14.906506614135978,15.4359649171875,15.862220940161949,-0.5294583030515216,-0.5125715509331736,-0.016886752118348003,45.666670799255364,14.941538443932167,17.63760791774902,12.245468970115313
2021-04-20,15.34000015258789,16.139999389648438,15.15999984741211,15.760000228881836,15.760000228881836,46700,0.01611863290204618,0.015990107007195276,,14.467000007629395,,,15.037813324096879,15.45996753286856,15.85821228481763,-0.42215420877168164,-0.4944880825008753,0.07233387372919364,46.77551425233179,15.0,17.63197919112192,12.368020808878079
2021-04-21,15.850000381469727,16.34000015258789,15.699999809265137,16.0,16.0,94500,0.01522841165181843,0.015113623287089218,,14.50600004196167,,,15.18584204346659,15.499969937841259,15.863772587373802,-0.3141278943746695,-0.45841604487563414,0.14428815050096466,47.87528736029911,15.066666666666666,17.657879198903476,12.475454134429855
2021-04-22,16.040000915527344,16.389999389648438,15.480999946594238,16.06999969482422,16.06999969482422,63900,0.004374980926513672,0.004365438519236486,,14.661999988555909,,,15.32186629752161,15.542194364284441,15.871859924920878,-0.220328066762832,-0.41079844925307374,0.19047038249024173,48.21140842048854,15.129374980926514,17.684893215778008,12.57385674607502
2021-04-23,16.1299991607666,16.739999771118164,15.0,16.600000381469727,16.600000381469727,74500,0.032980752751116116,0.03244855758358364,,14.944000053405762,,,15.518502310436704,15.620550365557424,15.900414452628677,-0.10204805512072035,-0.3490483704266031,0.24700031530588273,50.798406965229525,15.215882357429056,17.78987961133032,12.64188510352779
2021-04-26,16.709999084472656,16.84000015258789,16.049999237060547,16.75,16.75,126700,0.009036121390558316,0.008995539928474228,,15.314000034332276,,,15.70796349344644,15.70421330144206,15.933731532917749,0.003750192004380537,-0.27848865794040634,0.2822388499447869,51.53627263168629,15.301111115349663,17.89944301264261,12.702779218056715
2021-04-27,16.700000762939453,17.049999237060547,16.270000457763672,16.959999084472656,16.959999084472656,111300,0.01253725877448697,0.012459318111115066,,15.71299991607666,,,15.90058435360432,15.797234470555438,15.973977319253237,0.10334988304888171,-0.20212094974254874,0.30547083279143045,52.60783298252998,15.3884210084614,18.023729874052016,12.753112142870782
