Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_4,SMA_13,SMA_52,EMA_9,EMA_26,EMA_52,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
1996-06-17,3.0,3.125,2.9375,3.0,3.0,14520000,,,,,,,3.0,3.0,3.0,0.0,0.0,0.0,,3.0,3.0,3.0
1996-06-24,3.0625,3.34375,3.0,3.28125,3.28125,4406400,0.09375,0.08961215868968714,,,,,3.0562500000000004,3.020833333333333,3.01061320754717,0.0224358974358978,0.004487179487179561,0.01794871794871824,100.0,3.140625,3.421875,2.859375
1996-07-01,3.3125,3.40625,3.1875,3.25,3.25,812000,-0.00952380952380949,-0.009569451016150672,,,,,3.095,3.0378086419753085,3.0196466714133146,0.03726532252173298,0.011042808094090245,0.026222514427642736,90.0,3.1770833333333335,3.4288134577832206,2.9253532088834464
1996-07-08,3.1875,3.3125,3.0625,3.09375,3.09375,1401200,-0.04807692307692313,-0.049271049006782794,,3.15625,,,3.0947500000000003,3.0419524462734335,3.0224430234354536,0.03599475445483202,0.0160331973662386,0.019961557088593422,60.0,3.15625,3.385889663385923,2.926610336614077
1996-07-15,3.03125,3.21875,2.71875,3.21875,3.21875,625600,0.04040404040404044,0.03960913809504588,,3.2109375,,,3.1195500000000003,3.0550485613642904,3.0298508338718517,0.044560608482703934,0.02173867958953167,0.022821928893172264,68.42105263157895,3.16875,3.3801441815660973,2.957355818433903
1996-07-22,3.15625,3.21875,2.96875,3.09375,3.09375,492400,-0.03883495145631066,-0.03960913809504583,,3.1640625,,,3.11439,3.057915334596565,3.0322621231597062,0.040792424504737745,0.025549428572572887,0.015242995932164858,56.52173913043478,3.15625,3.35715939085402,2.95534060914598
1996-07-29,3.0625,3.125,2.90625,3.125,3.125,441200,0.010101010101010166,0.010050335853501506,,3.1328125,,,3.116512,3.0628845690708935,3.0357616656819815,0.039868150168670624,0.028413172891792435,0.011454977276878189,58.33333333333333,3.1517857142857144,3.339073008601813,2.964498419969616
1996-08-05,3.0625,3.34375,3.0625,3.34375,3.34375,762800,0.07000000000000006,0.06765864847381486,,3.1953125,,,3.1619596000000003,3.083689415806383,3.047383866977001,0.05613980816555619,0.03395849994654519,0.022181308219011,67.74193548387098,3.17578125,3.3921466003769725,2.9594158996230275
1996-08-12,3.375,3.375,3.1875,3.234375,3.234375,480800,-0.032710280373831724,-0.03325722175648235,,3.19921875,,,3.1764426800000005,3.094851310931836,3.05444013614768,0.05952341704441988,0.03907148336612013,0.020451933678299748,60.869565217391305,3.1822916666666665,3.389580716063879,2.975002617269454
1996-08-19,3.25,3.28125,2.75,2.78125,2.78125,708800,-0.14009661835748788,-0.15093524297328387,,3.12109375,,,3.0974041440000004,3.0716215841961447,3.0441310744062577,0.025349339476071986,0.0363270545881105,-0.010977715112038516,42.857142857142854,3.1421875,3.4529482852110687,2.831426714788931
1996-08-26,2.71875,2.875,2.625,2.84375,2.84375,547600,0.022471910112359605,0.022223136784710256,,3.05078125,,,3.0466733152000005,3.0547422075890225,3.0365695244286632,0.003271650902853196,0.029715973851059042,-0.026444322948205846,45.09803921568627,3.1150568181818183,3.4574541379534205,2.772659498410216
1996-09-02,2.75,2.90625,2.6875,2.6875,2.6875,1142400,-0.05494505494505497,-0.056512210263342334,,2.88671875,,,2.9748386521600008,3.027539081100947,3.0233970895445625,-0.02652735468474443,0.01846730814389835,-0.044994662828642784,41.07142857142858,3.0794270833333335,3.483559854141359,2.675294312525308
1996-09-09,2.75,2.78125,2.5625,2.75,2.75,1515200,0.023255813953488413,0.02298951822469878,,2.765625,3.0540865384615383,,2.929870921728001,3.006980630649025,3.013080218240994,-0.044586092912238584,0.005856627932670963,-0.05044272084490955,43.10344827586208,3.0540865384615383,3.4802119193492373,2.6279611575738393
1996-09-16,2.78125,3.09375,2.75,3.0,3.0,1264400,0.09090909090909083,0.0870113769896297,,2.8203125,3.0540865384615383,,2.943896737382401,3.0064635468972454,3.0125866250998246,-0.03828355342765688,-0.002971408339394606,-0.035312145088262276,50.0,3.0502232142857144,3.461791861772847,2.6386545667985817
1996-09-23,3.0,3.0,2.8125,2.9375,2.9375,1135600,-0.02083333333333337,-0.02105340919783238,,2.84375,3.027644230769231,,2.9426173899059207,3.001355136015968,3.009753167548888,-0.037895141541700816,-0.00995615497985585,-0.027938986561844965,48.41986455981942,3.042708333333333,3.4442786018487643,2.641138064817902
1996-09-30,2.875,3.28125,2.875,3.1875,3.1875,344400,0.0851063829787233,0.0816780310142671,,2.96875,3.0228365384615383,,2.991593911924737,3.0151436444592297,3.0164605951885526,-0.017215956827157264,-0.011408115349316131,-0.005807841477841132,54.60033623720007,3.0517578125,3.4468446351252418,2.6566709898747582
1996-10-07,3.3125,3.5625,3.1875,3.4375,3.4375,646400,0.07843137254901955,0.0755075525081451,,3.140625,3.0492788461538463,,3.0807751295397896,3.046429300425213,3.0323488746153995,0.019124896801924862,-0.005301512919067932,0.024426409720992796,59.78913937626907,3.0744485294117645,3.4985513632478757,2.6503456955756532
1996-10-14,3.5625,3.84375,3.4375,3.78125,3.78125,1176400,0.10000000000000009,0.09531017980432493,,3.3359375,3.092548076923077,,3.220870103631832,3.1008604633566788,3.060609294441233,0.07480078045089922,0.010718945754925498,0.06408183469597373,65.60939151617785,3.1137152777777777,3.6378512188854284,2.589579336670127
1996-10-21,3.875,3.875,3.125,3.25,3.25,662000,-0.14049586776859502,-0.1513996464553684,,3.4140625,3.1045673076923075,,3.2266960829054656,3.1119078364413695,3.0677561135189224,0.07519013908811933,0.023613184421564265,0.05157695466655507,52.87236418399178,3.1208881578947367,3.63466245873336,2.6071138570561136
1996-10-28,3.25,3.28125,2.9375,3.0,3.0,670400,-0.07692307692307687,-0.08004270767353637,,3.3671875,3.094951923076923,,3.1813568663243728,3.103618367075342,3.06519927904651,0.05469530452653304,0.029829608442558022,0.024865696083975018,48.136469320221536,3.11484375,3.618373769431563,2.611313730568437
1996-11-04,3.09375,3.1875,3.0,3.09375,3.09375,808000,0.03125,0.030771658666753687,,3.28125,3.0757211538461537,,3.1638354930594983,3.102887376921613,3.066276664742868,0.04549342212612739,0.03296237117927189,0.012531050946855499,49.94705430662793,3.11953125,3.6204361927972837,2.6186263072027165
1996-11-11,3.0625,3.125,2.96875,3.0,3.0,240800,-0.030303030303030276,-0.03077165866675366,0.5151270500743121,3.0859375,3.0576923076923075,,3.131068394447599,3.095266089742234,3.063775658526156,0.030286894067392378,0.03242727575689599,-0.0021403816895036107,48.13728542932684,3.10546875,3.60320532613114,2.60773217386886
1996-11-18,3.0,3.0,2.875,2.875,2.875,176800,-0.04166666666666663,-0.04255961441879589,0.49789207947775904,2.9921875,3.0649038461538463,,3.0798547155580795,3.0789500830946612,3.0566520487704523,0.008056287821176955,0.027553078169752186,-0.01949679034857523,45.75666050819983,3.08671875,3.5894918217915888,2.5839456782084116
1996-11-25,2.96875,2.96875,2.84375,2.90625,2.90625,352400,0.010869565217391353,0.010810916104215676,0.49854332682735586,2.96875,3.0697115384615383,,3.045133772446464,3.0661574843469084,3.0509764997602464,-0.006959785879660618,0.020650505359869627,-0.027610291239530245,46.469408681071435,3.07734375,3.5861984497608943,2.5684890502391053
1996-12-02,2.84375,2.90625,2.78125,2.78125,2.78125,132000,-0.043010752688172005,-0.04396312342111606,0.49745014310491004,2.890625,3.076923076923077,,2.9923570179571715,3.0450532262471377,3.0407981412787275,-0.028616712159466484,0.010797061856002405,-0.03941377401546889,43.98003583906406,3.05546875,3.5756169973475713,2.535320502652429
1996-12-09,2.78125,3.1875,2.75,3.1875,3.1875,161600,0.146067415730337,0.13633644355213118,0.5393737680774123,2.9375,3.110576923076923,,3.0313856143657376,3.05560483911772,3.0463340604757567,-0.01285086565892124,0.006067476353017675,-0.018918342011938913,52.82511451175235,3.06015625,3.583281156660685,2.537031343339315
1996-12-16,3.15625,3.6875,3.0625,3.40625,3.40625,916000,0.06862745098039214,0.06637506894487259,0.5448557564992392,3.0703125,3.141826923076923,,3.1063584914925904,3.0815785547386296,3.059915794042709,0.0170978843418923,0.0082735579507926,0.0088243263910997,56.782078692155544,3.07421875,3.618262761747901,2.530174738252099
1996-12-23,3.40625,3.40625,3.1875,3.34375,3.34375,596400,-0.01834862385321101,-0.018519047767237527,0.545911154597291,3.1796875,3.173076923076923,,3.1538367931940727,3.1009986617950274,3.070626518795814,0.03538140204233731,0.013695126769101541,0.021686275273235765,55.35347171160858,3.07421875,3.618262761747901,2.530174738252099
1996-12-30,3.34375,3.4375,3.21875,3.21875,3.21875,1222000,-0.03738317757009346,-0.038099846232270404,0.5391166786806643,3.2890625,3.175480769230769,,3.1668194345552587,3.109720983143544,3.0762160841242743,0.03933137856499558,0.01882237712828035,0.02050900143671523,52.50807853447336,3.0734375,3.6166034938499463,2.5302715061500534
1997-01-06,3.21875,3.25,1.9375,2.03125,2.03125,11970000,-0.3689320388349514,-0.46034171833399856,0.8873013623007956,3.0,3.0673076923076925,,2.9397055476442073,3.02983424365143,3.0367834017044903,-0.05275147605189634,0.004507606492245011,-0.05725908254414135,34.41114930990976,3.0359375,3.7356235345004754,2.336251465499525
1997-01-13,2.03125,2.34375,2.0,2.28125,2.28125,4331600,0.12307692307692308,0.11607217125275403,0.8860805691210164,2.71875,2.951923076923077,,2.808014438115366,2.974383558936509,3.0082727073005473,-0.1043519863522886,-0.017264312076661712,-0.08708767427562689,39.16477472215193,3.0078125,3.777825436173802,2.237799563826198
1997-01-20,2.3125,2.5,2.28125,2.3125,2.3125,847600,0.013698630136986356,0.013605652055778678,0.8854167049566607,2.4609375,2.8798076923076925,,2.708911550492293,2.9253551471634345,2.9820171334401495,-0.14109766266909407,-0.042030982195148184,-0.09906668047394589,39.75257276742008,2.9890625,3.806182776871771,2.1719422231282293
1997-01-27,2.375,2.4375,2.25,2.375,2.375,274800,0.027027027027026973,0.026668247082161273,0.8837739800497197,2.25,2.831730769230769,,2.642129240393835,2.8845880992254025,2.95911082651788,-0.1632933046532683,-0.06628344668677222,-0.09700985796649608,40.98080634941875,2.9703125,3.8248671628946562,2.1157578371053436
1997-02-03,2.375,2.375,2.125,2.21875,2.21875,303600,-0.06578947368421051,-0.06805346324501564,0.8874594290179726,2.296875,2.764423076923077,,2.557453392315068,2.8352667585420392,2.931172682120979,-0.19128654775023346,-0.09128406689946447,-0.10000248085076899,38.84853812645161,2.93125,3.8461014223632164,2.0163985776367834
1997-02-10,2.21875,2.375,2.125,2.25,2.25,400000,0.014084507042253502,0.01398624197473987,0.8746404706874701,2.2890625,2.706730769230769,,2.495962713852055,2.7919136653167027,2.90546805260698,-0.2085457946467133,-0.11473641244891425,-0.09380938219779905,39.52624663573173,2.896875,3.8586645104959296,1.9350854895040706
1997-02-17,2.25,2.28125,2.03125,2.03125,2.03125,524800,-0.09722222222222221,-0.10227884912041818,0.8851627951588416,2.21875,2.641826923076923,,2.4030201710816437,2.7355682086265762,2.872478692131245,-0.23714154882889282,-0.13921743972490996,-0.09792410910398286,36.47864941374108,2.8390625,3.8611381683704975,1.816986831629502
