Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_3,SMA_12,SMA_24,EMA_6,EMA_12,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
2018-08-01,2400.0,2634.0,2000.0,2344.0,2344.0,451,,,,,,,2344.0,2344.0,0.0,0.0,0.0,,2344.0,2344.0,2344.0
2018-09-01,2400.0,2400.0,1904.0,2040.0,2040.0,566,-0.12969283276450516,-0.1389090638586412,,,,,2257.142857142857,2297.2307692307695,-24.25071225071224,-4.850142450142449,-19.40056980056979,0.0,2192.0,2496.0,1888.0
2018-10-01,1990.0,2148.0,1404.0,1600.0,1600.0,220,-0.21568627450980393,-0.24294617861038947,,1994.6666666666667,,,2069.3877551020405,2189.96449704142,-78.07391173772976,-19.49489630765991,-58.579015430069845,0.0,1994.6666666666667,2605.5138015721373,1383.8195317611962
2018-11-01,1600.0,1648.0,730.0,1120.0,1120.0,2767,-0.30000000000000004,-0.35667494393873245,,1586.6666666666667,,,1798.1341107871717,2025.3545744196633,-157.64395222769758,-47.12470749166745,-110.51924473603013,0.0,1776.0,2699.9220746361675,852.0779253638324
2018-12-01,1118.0,1826.0,480.0,594.0,594.0,48843,-0.46964285714285714,-0.6342046449264953,,1104.6666666666667,,,1454.0957934194084,1805.1461783551,-260.1487537257899,-89.72951673849195,-170.41923698729795,0.0,1539.6,2795.4124700766433,283.7875299233565
2019-01-01,650.0,740.0,530.0,558.0,558.0,17595,-0.06060606060606055,-0.06252035698133393,,757.3333333333334,,,1198.068423871006,1613.2775355312383,-340.36592009921515,-139.8567974106366,-200.50912268857854,0.0,1376.0,2735.9705879172534,16.029412082746603
2019-02-01,540.0,620.0,402.0,404.0,404.0,4222,-0.2759856630824373,-0.3229440844201609,,518.6666666666666,,,971.1917313364329,1427.2348377572016,-411.6202137524774,-194.2094806790048,-217.4107330734726,0.0,1237.142857142857,2668.2453007441645,-193.95958645845008
2019-03-01,458.0,942.0,362.0,516.0,516.0,56652,0.27722772277227725,0.24469188752041268,,492.6666666666667,,,841.1369509545949,1287.0448627176322,-453.8209257172557,-246.131769686655,-207.6891560306007,5.458089668615983,1147.0,2568.1150551591522,-274.11505515915223
2019-04-01,508.0,780.0,464.0,508.0,508.0,37552,-0.015503875968992276,-0.01562531790308087,,476.0,,,745.9549649675678,1167.1918069149197,-482.3505897840505,-293.3755337061341,-188.9750560779164,5.436893203883486,1076.0,2474.74356318646,-322.7435631864603
2019-05-01,518.0,634.0,380.0,392.0,392.0,10132,-0.22834645669291342,-0.2592196077880194,,472.0,,,644.8249749768341,1047.931528928009,-508.4595791265931,-336.39234279022594,-172.06723633636716,5.14705882352942,1007.6,2396.579251104926,-381.37925110492563
2019-06-01,402.0,440.0,316.0,334.0,334.0,4767,-0.14795918367346939,-0.16012084681376212,,411.3333333333333,,,556.0178392691672,938.0959090929306,-527.7477094761454,-374.66341612740985,-153.0842933487355,5.013428827215762,946.3636363636364,2326.172127087759,-433.4448543604859
2019-07-01,360.0,400.0,218.0,242.0,242.0,24311,-0.27544910179640714,-0.32220326682001393,,322.6666666666667,887.6666666666666,,466.2984566208337,831.0042307709413,-544.184304941166,-408.5675938901611,-135.61671105100493,4.8151332760103145,887.6666666666666,2264.9140018328026,-489.5806684994692
2019-08-01,252.0,276.0,170.0,186.0,186.0,27697,-0.23140495867768596,-0.2631910524434852,,254.0,707.8333333333334,,386.21318330059546,731.7728106523349,-555.3276853773942,-437.91961218760775,-117.40807318978648,4.701931150293873,833.6923076923077,2208.732980571116,-541.3483651865005
2019-09-01,176.0,184.0,104.0,112.0,112.0,6435,-0.3978494623655914,-0.5072478024181066,,180.0,547.1666666666666,,307.86655950042535,636.4231474750527,-563.632867367289,-463.062263223544,-100.57060414374502,4.560260586319217,782.1428571428571,2158.3209720980512,-594.0352578123372
2019-10-01,122.0,158.0,74.5999984741211,76.0,76.0,38697,-0.3214285714285714,-0.38776553100876343,,124.66666666666667,420.1666666666667,,241.6189710717324,550.20420170966,-566.5884046258415,-483.76749150400354,-82.82091312183792,4.48939319190923,735.0666666666667,2110.4625547254063,-640.3292213920728
2019-11-01,70.0,107.19999694824219,54.5,61.29999923706055,61.29999923706055,837570,-0.19342106267025594,-0.21495350979015976,,83.09999974568684,331.9416666030884,,190.09926483325475,474.9881705600293,-563.6197982126247,-499.7379528457278,-63.88184536689687,4.458922224535826,692.9562499523163,2064.0430324298904,-678.1305325252576
2019-12-01,62.5,63.099998474121094,29.399999618530273,30.299999237060547,30.299999237060547,365720,-0.5057096310901441,-0.704632143160368,,55.86666615804037,284.9666665395101,,144.4423318057707,406.574605741111,-557.3438838066843,-511.25913903791917,-46.08474476876512,4.3912338348192606,653.9764704984777,2020.190558660638,-712.2376176636826
2020-01-01,29.799999237060547,33.5,20.0,21.299999237060547,21.299999237060547,253070,-0.29702971044936255,-0.35244065043917816,,37.63333257039388,240.2416664759318,,109.25880821471065,347.30158935587247,-546.7933083170535,-518.3659728937461,-28.427335423307454,4.370490434041301,618.8277776506212,1977.8176589612958,-740.1621036600535
2020-02-01,20.700000762939453,27.899999618530273,16.200000762939453,16.5,16.5,78580,-0.2253520849291335,-0.2553466559900902,,22.6999994913737,207.94999980926514,,82.75629158193618,296.4090371472767,-532.6788310683955,-521.228544528676,-11.450286539719514,4.358664643238086,587.1263156690096,1936.9446129424637,-762.6919816044445
2020-03-01,17.700000762939453,35.900001525878906,9.300000190734863,16.600000381469727,16.600000381469727,1367880,0.006060629179983401,0.006042337436066342,,18.133333206176758,166.3333331743876,,63.85449409608862,253.36149302946026,-515.5420886799748,-520.0912533589358,4.549164678961006,4.3644704751303465,558.5999999046326,1897.537644604436,-780.337644795171
2020-04-01,23.200000762939453,42.5,10.300000190734863,12.0,12.0,5899220,-0.2771084503470628,-0.324496068554601,,15.033333460489908,124.99999984105428,,49.03892435434902,216.22895564031253,-496.60769409064585,-515.3945415052779,18.786847414632007,4.351385068075857,441.99999990463255,1519.309359515556,-635.3093597062908
2020-05-01,11.899999618530273,19.399999618530273,11.100000381469727,13.0,13.0,7359720,0.08333333333333326,0.08004270767353636,0.7591506936346806,13.866666793823242,93.41666650772095,,38.74208882453502,184.96296246487984,-476.03393543415564,-507.52242029105344,31.4884848568978,4.41847486059666,340.6499999046326,1144.139617901016,-462.83961809175076
2020-06-01,13.0,19.799999237060547,12.699999809265137,16.600000381469727,16.600000381469727,4377420,0.276923106266902,0.2444533608810645,0.8389334362295883,13.866666793823242,66.96666653951009,,32.41577784080208,159.06096829820137,-454.20282608101445,-496.85850144904566,42.65567536803121,4.677689517238164,261.47999992370603,830.9825956422912,-308.0225957948792
2020-07-01,17.200000762939453,20.899999618530273,14.600000381469727,14.899999618530273,14.899999618530273,3760230,-0.10240968216103974,-0.10804153099318324,0.8435522501979167,14.833333333333334,48.04166650772095,467.8541665871938,27.411269777295846,136.88235773209814,-432.05819259077055,-483.8984396773907,51.84024708662014,4.671247087498273,206.22499990463257,626.7838752427654,-214.33387543350028
2020-08-01,14.800000190734863,16.5,11.300000190734863,12.699999809265137,12.699999809265137,2186950,-0.147650997690572,-0.15975920890336578,0.8381700542125838,14.733333269755045,33.599999825159706,370.7166665792465,23.20804978642993,117.77737959012384,-409.9601669909965,-469.11078514011183,59.1506181491153,4.662298045582688,177.15999989509584,565.6277150479096,-211.30771525771797
2020-09-01,12.5,12.600000381469727,9.0,10.199999809265137,10.199999809265137,877690,-0.19685039665718373,-0.21921427685532346,0.7724197456156159,12.59999974568685,25.116666475931805,286.14166657129925,19.491464078668564,101.22701346999173,-388.1744185354356,-452.9235118191766,64.74909328374099,4.651392967415049,149.7699998855591,502.5781977830985,-203.03819801198037
2020-10-01,10.0,12.399999618530273,9.199999809265137,9.300000190734863,9.300000190734863,1396760,-0.08823525836860913,-0.09237328092239366,0.7698356596967406,10.733333269755045,19.558333158493042,219.86249991257986,16.579617253544647,87.08439604241374,-366.75396693970305,-435.68960284328193,68.93563590357888,4.647178864493881,130.03499989509584,467.5783736656827,-207.50837387549103
2020-11-01,9.199999809265137,12.0,9.0,10.699999809265137,10.699999809265137,1099240,0.15053759030295777,0.1402293029738371,0.801033810222247,10.066666603088379,15.341666539510092,173.64166657129923,14.899726555179072,75.3329504680832,-345.68034857530387,-417.6877519896864,72.00740341438251,4.79167867897894,104.76999988555909,395.3498003920703,-185.80980062095213
2020-12-01,10.399999618530273,16.200000762939453,10.100000381469727,14.199999809265137,14.199999809265137,4196050,0.3271028095691504,0.2829982275330101,0.8128566426066902,11.399999936421713,13.99999992052714,149.48333323001862,14.699804627775091,65.92788113595734,-324.95109944564297,-399.1404214808777,74.18932203523474,5.178548765897517,80.07999987602234,306.17717908183585,-146.0171793297912
2021-01-01,14.5,17.899999618530273,13.100000381469727,14.199999809265137,14.199999809265137,1499340,0.0,0.0,0.8146440833801836,13.03333314259847,13.40833330154419,126.82499988873799,14.55700325105796,57.96974554723546,-305.00708831048814,-380.31375484679984,75.3066665363117,5.178548765897517,61.18999986648559,237.54709110376837,-115.1670913707972
2021-02-01,14.899999618530273,29.799999237060547,14.300000190734863,17.399999618530273,17.399999618530273,3695710,0.22535210227096059,0.20322823312175334,0.8561885730802503,15.266666412353516,13.483333269755045,110.71666653951009,15.36928792747862,51.72824617358851,-285.6503036664171,-361.3810646107233,75.73076094430621,5.585348735049465,45.35999984741211,170.25163934755398,-79.53163965272974
2021-03-01,18.600000381469727,20.200000762939453,12.0,13.5,13.5,3181060,-0.2241379140248334,-0.2537804988525518,0.8597067022620413,15.03333314259847,13.224999904632568,89.77916653951009,14.835205662484729,45.84697753149797,-267.5405686166554,-342.6129654119097,75.07239679525435,5.5540745992538945,33.93499984741211,120.79899182963021,-52.92899213480599
2021-04-01,13.699999809265137,18.0,11.699999809265137,13.600000381469727,13.600000381469727,10562480,0.007407435664424256,0.007380135346866832,0.8569693972711021,14.833333333333334,13.358333269755045,69.17916655540466,14.482289867909014,40.88590412380132,-250.29515715274584,-324.14940376007695,73.8542466073311,5.568675272464546,25.314999866485596,77.33504495274849,-26.7050452197773
2021-05-01,13.600000381469727,14.5,11.300000190734863,14.199999809265137,14.199999809265137,479530,0.044117603747491074,0.04317213038393171,0.861001684651624,13.766666730244955,13.458333253860474,53.43749988079071,14.401635565439335,36.78038038310344,-233.88356522920063,-306.09623605390175,72.21267082470112,5.662908919140946,20.42499985694885,54.07447958589372,-13.224479871996017
2021-06-01,14.199999809265137,16.899999618530273,13.199999809265137,14.899999618530273,14.899999618530273,1158900,0.049295761877997,0.04811923617423575,0.8154612593427191,14.233333269755045,13.316666523615519,40.141666531562805,14.544025294893888,33.41416795778449,-218.3043001734993,-288.53784887782126,70.23354870432195,5.781038862540669,17.369999837875366,39.35509440008714,-4.615094724336405
2021-07-01,15.699999809265137,16.899999618530273,10.899999618530273,11.800000190734863,11.800000190734863,1620000,-0.20805365819876387,-0.2332616397138276,0.7914917207602384,13.633333206176758,13.058333237965902,30.549999872843426,13.760018122277025,30.088911378238393,-203.8578183870788,-271.6018427796728,67.74402439259399,5.746718975429175,14.894999885559082,23.787575082029356,6.002424689088809
2021-08-01,11.899999618530273,14.5,11.0,11.800000190734863,11.800000190734863,1420130,0.0,0.0,0.787774314782313,12.833333333333334,12.983333269755045,23.29166654745738,13.200012998979265,27.27523273400708,-190.2161837294892,-255.32471096963607,65.10852724014688,5.746718975429175,13.969999933242798,19.457111887265437,8.482887979220159
2021-09-01,12.0,12.600000381469727,10.5,10.899999618530273,10.899999618530273,381930,-0.07627123369974631,-0.07933679339771563,0.6212067969966595,11.5,13.041666587193808,19.079166531562805,12.542866318850983,24.755966100856803,-177.43238244819756,-239.74624526534836,62.313862817150806,5.735254789613293,13.449999952316285,17.94065693131135,8.95934297332122
2021-10-01,10.699999809265137,11.800000190734863,9.699999809265137,11.199999809265137,11.199999809265137,469900,0.02752295424165485,0.02715100703327549,0.5766620600740835,11.299999872843424,13.199999888737997,16.37916652361552,12.159190173255027,22.670432825227316,-165.3706306319908,-224.87112233867688,59.50049170668609,5.80271148892308,13.184999942779541,17.548152490347768,8.821847395211316
2021-11-01,11.100000381469727,12.899999618530273,9.199999809265137,9.699999809265137,9.699999809265137,542580,-0.1339285737093614,-0.14378789542520118,0.557367966633933,10.59999974568685,13.116666555404663,14.229166547457377,11.456564354972201,20.674981592002364,-154.15563270610812,-210.72802441216317,56.57239170605504,5.780437862171354,12.839999914169312,17.159444283675082,8.52055554466354
2021-12-01,10.0,10.0,6.699999809265137,7.099999904632568,7.099999904632568,566970,-0.26804123255230683,-0.312031095230712,0.5952526703295445,9.333333174387613,12.524999896685282,13.26249990860621,10.211831654875164,18.58652287086855,-143.8196014721695,-197.34633982416443,53.526738351994936,5.7393146762606335,12.59499990940094,17.581571848383128,7.608427970418752
2022-01-01,7.400000095367432,9.899999618530273,4.800000190734863,6.5,6.5,1042960,-0.08450702995658965,-0.08829259371364556,0.5549861419446254,7.766666571299235,11.883333245913187,12.64583327372869,9.151308324910831,16.727057813811847,-134.1304647260382,-184.7031648045392,50.572700078500986,5.729185329936769,12.26999990940094,17.912729697995022,6.627270120806858
2022-02-01,6.5,9.100000381469727,6.199999809265137,8.600000381469727,8.600000381469727,581770,0.32307698176457333,0.2799600707148146,0.5955826938880558,7.400000095367432,11.149999976158142,12.316666622956594,8.993791769641945,15.476741285759214,-124.84318702013677,-172.73116924765873,47.88798222752196,6.352162329341084,11.86999990940094,17.360391330462548,6.379608488339333
2022-03-01,8.399999618530273,13.100000381469727,7.5,8.199999809265137,8.199999809265137,3649340,-0.04651169237927755,-0.04762811660654799,0.5594449271524302,7.766666730244954,10.708333293596903,11.966666599114737,8.766994066677142,14.357242597067819,-116.17602433870735,-161.42014026586844,45.24411592716109,6.343563210588826,11.534999918937682,17.062485647689947,6.007514190185417
2022-04-01,8.100000381469727,8.800000190734863,6.300000190734863,6.400000095367432,6.400000095367432,676460,-0.21951216533735707,-0.24783612574307073,0.5792319980246653,7.733333428700765,10.108333269755045,11.733333269755045,8.090710074874368,13.133051442960067,-108.20515868982194,-150.77714395065917,42.571985260837224,6.302218276279206,11.219999933242798,17.14945169595489,5.2905481705307045
2022-05-01,6.699999809265137,6.900000095367432,4.800000190734863,5.800000190734863,5.800000190734863,291930,-0.09374998370185517,-0.09844005482909286,0.5737423409731037,6.800000031789144,9.40833330154419,11.433333277702332,7.4362215365487945,12.004889711848497,-100.77493449930039,-140.77670206038744,40.00176756108705,6.287507655841097,10.999999952316283,17.374323260015167,4.625676644617401
2022-06-01,5.5,5.800000190734863,4.400000095367432,4.800000190734863,4.800000190734863,367830,-0.1724137874335655,-0.18924199278742007,0.5687166172211245,5.666666825612386,8.56666668256124,10.941666603088379,6.683015437744814,10.896445170138708,-93.88487355801654,-131.39833635991326,37.51346280189672,6.2612755071641,10.774999952316284,17.66988916113754,3.8801107434950293
2022-07-01,4.800000190734863,6.199999809265137,4.5,5.099999904632568,5.099999904632568,595120,0.06249993791183073,0.06062456338050912,0.571228621675194,5.233333428700765,8.008333325386047,10.533333281675974,6.230725285427029,10.00468436006084,-87.3928329737594,-122.5972356826825,35.2044027089231,6.387456780669027,10.494999957084655,17.820701105544877,3.169298808624432
2022-08-01,5.099999904632568,6.0,4.800000190734863,5.900000095367432,5.900000095367432,188980,0.1568627854302871,0.14571184604486156,0.5721681508438656,5.266666730244954,7.516666650772095,10.24999996026357,6.13623237398143,9.373194473184931,-81.24672899112028,-114.32713434437005,33.08040535324977,6.74794263055459,10.079999971389771,17.459322252531123,2.700677690248419
2022-09-01,5.900000095367432,5.900000095367432,4.0,4.400000095367432,4.400000095367432,131270,-0.254237284026109,-0.2933478044770136,0.5505219231817808,5.1333333651224775,6.975000023841858,10.008333305517832,5.6401660086631455,8.608087645828393,-75.62517482818512,-106.58674244113307,30.961567612947945,6.695877432449947,9.589999985694885,17.110079597675693,2.069920373714078
2022-10-01,4.400000095367432,4.699999809265137,2.799999952316284,3.0,3.0,165360,-0.31818183295982894,-0.3829922739305218,0.5987331127904603,4.433333396911621,6.291666706403096,9.745833297570547,4.885832863330818,7.745304931085563,-70.47067884114918,-99.36352972113629,28.892850879987108,6.644348630519943,8.870000004768372,16.008935400869568,1.7310646086671735
2022-11-01,3.4000000953674316,6.0,2.9600000381469727,3.3399999141693115,3.3399999141693115,5847230,0.11333330472310377,0.10735849262268804,0.5771527844822573,3.5800000031789145,5.761666715145111,9.439166635274887,4.4441663064275305,7.067565697713833,-65.6020488998494,-92.61123355687891,27.00918465702952,6.831867667861218,8.362000000476836,15.556507821134339,1.1674921798193347
2022-12-01,3.3499999046325684,3.450000047683716,2.259999990463257,2.4000000953674316,2.4000000953674316,304200,-0.28143707872988566,-0.33050200420046877,0.5930170761043813,2.9133333365122476,5.370000064373016,8.94749998052915,3.8601188175532166,6.3494786819682325,-61.11497928580272,-86.31198270266367,25.19700341686095,6.791252497899663,7.801999986171722,15.021993178195078,0.5820067941483655
2023-01-01,2.4100000858306885,3.200000047683716,2.4100000858306885,2.7100000381469727,2.7100000381469727,534500,0.1291666376921876,0.12147987187765402,0.6086393419043711,2.8166666825612388,5.054166734218597,8.468749990065893,3.531513452008576,5.789558890611115,-56.87827256385435,-80.4252406749018,23.54696811104745,6.987637371124748,7.227499997615814,14.141754338637469,0.3132456565941588
2023-02-01,2.809999942779541,2.9000000953674316,2.0199999809265137,2.119999885559082,2.119999885559082,271900,-0.21771223036266718,-0.24553261426562853,0.6133620320034314,2.4100000063578286,4.514166692892711,7.832083334525426,3.1282238615944347,5.22501135137234,-52.9577955424334,-74.93175164840812,21.97395610597472,6.957591453116635,6.5885000109672545,12.882742662226798,0.2942573597077107
2023-03-01,2.0399999618530273,2.109999895095825,1.4600000381469727,1.7599999904632568,1.7599999904632568,170200,-0.1698112804382943,-0.18610223107089816,0.6074091440838894,2.196666638056437,3.977500041325887,7.342916667461395,2.7373027555569553,4.691932680463251,-49.31140703531712,-69.80768272578993,20.496275690472814,6.9379884042647575,6.0865000009536745,12.237955940613658,-0.06495593870630856
2023-04-01,1.7999999523162842,3.390000104904175,1.6699999570846558,1.9500000476837158,1.9500000476837158,1071700,0.1079545785511331,0.1025155933973865,0.6162991148474121,1.9433333079020183,3.606666704018911,6.857499986886978,2.51235912473603,4.270096890804861,-45.87743988659798,-65.02163415795154,19.144194271353555,7.086779948463857,5.593999993801117,11.404636330584857,-0.21663634298262213
2023-05-01,1.909999966621399,3.950000047683716,1.850000023841858,3.0,3.0,10306100,0.5384615008412508,0.430782891639267,0.7232030636419375,2.236666679382324,3.3733333547910056,6.390833328167598,2.6516850890971644,4.074697369142574,-42.580429276600796,-60.53339318168139,17.952963905080594,7.962551066736253,5.1990000128746034,10.5706324918019,-0.17263246605269345
