Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_4,SMA_13,SMA_52,EMA_9,EMA_26,EMA_52,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
2021-10-18,15.850000381469727,15.890000343322754,13.670000076293945,14.300000190734863,14.300000190734863,4278600,,,,,,,14.300000190734863,14.300000190734863,14.300000190734863,0.0,0.0,0.0,,14.300000190734863,14.300000190734863,14.300000190734863
2021-10-25,14.800000190734863,14.800000190734863,13.0,13.670000076293945,13.670000076293945,2453900,-0.044055951471182686,-0.045055894286983124,,,,,14.174000167846682,14.253333515591091,14.276226601510677,-0.050256419385599216,-0.010051283877119843,-0.04020513550847937,0.0,13.985000133514404,14.615000247955322,13.355000019073486
2021-11-01,13.520000457763672,13.869999885559082,12.300000190734863,13.510000228881836,13.510000228881836,1008500,-0.01170445109869278,-0.01177348740321267,,,,,14.041200180053714,14.198271790649665,14.247312398769967,-0.10182190480165865,-0.028405408062027605,-0.07341649673963105,0.0,13.826666831970215,14.508689977584384,13.144643686356046
2021-11-08,13.34000015258789,14.850000381469727,13.0,13.489999771118164,13.489999771118164,1673300,-0.0014804187583146167,-0.0014815156608816878,,13.742500066757202,,,13.930960098266604,14.145807196610294,14.21873456376424,-0.1426573284130317,-0.051255792132228424,-0.09140153628080327,0.0,13.742500066757202,14.401192112224697,13.083808021289707
2021-11-15,13.229999542236328,14.720000267028809,13.229999542236328,13.989999771118164,13.989999771118164,2096300,0.03706449284532165,0.03639411906411479,,13.664999961853027,,,13.942768032836916,14.134265905833098,14.210103062154953,-0.1331391294941593,-0.0676324596046146,-0.06550666988954469,38.16792670542029,13.792000007629394,14.413533655110632,13.170466360148156
2021-11-22,14.069999694824219,14.479999542236328,13.229999542236328,14.0600004196167,14.0600004196167,937100,0.00500362041771063,0.004991143910232645,,13.762500047683716,,,13.966214510192874,14.128764758705957,14.204438811493132,-0.118580498785823,-0.07782206744085629,-0.040758431344966706,41.30436284930022,13.836666742960611,14.438183498639473,13.23514998728175
2021-11-29,14.020000457763672,14.75,13.449999809265137,14.359999656677246,14.359999656677246,982400,0.021337071700366694,0.02111262348457425,,13.974999904632568,,,14.044971539489747,14.145893269666793,14.210309032066117,-0.08189125639941075,-0.0786359052325672,-0.0032553511668435564,51.78569806676627,13.911428587777275,14.577970030295525,13.244887145259025
2021-12-06,14.489999771118164,14.789999961853027,12.720000267028809,12.970000267028809,12.970000267028809,1045000,-0.09679661719226451,-0.10180752079526695,,13.84500002861023,,,13.829977284997561,14.058790084286201,14.163504927725086,-0.1630960319785988,-0.09552793058177352,-0.06756810139682527,28.338761304303517,13.793750047683716,14.67493873016293,12.912561365204501
2021-12-13,13.0,13.0,10.329999923706055,10.619999885559082,10.619999885559082,5005900,-0.18118738111699895,-0.19990001387872938,,13.002500057220459,,,13.187981805109866,13.80406488438049,14.029787756322596,-0.4123237808034279,-0.1588871006261044,-0.2534366801773235,16.05165817919996,13.44111114078098,15.602025483460025,11.280196798101933
2021-12-20,10.449999809265137,12.170000076293945,10.0600004196167,12.109999656677246,12.109999656677246,1202200,0.14030129822734216,0.1312925241768375,,12.514999866485596,,,12.972385375423343,13.678578571217287,13.957342922373716,-0.4840284594709665,-0.22391537239507683,-0.26011308707588965,34.15339665399702,13.307999992370606,15.50810556226425,11.107894422476962
